Subject,Start Date,End Date,All day event,Description,Location
"Circumambulation Dissection opens",6/23/2023,6/23/2023,true,"Admission 0 yen","102 Tanaka Bldg.\, 5-18-11 Shinjuku\, Shinjuku-ku\, Tokyo 160-0022"
"Collection Room [Summer 2023] 'Living National Treasure Toshijiro Inagaki - Touching the Spirit of Fun'  opens",6/23/2023,6/23/2023,true,"Admission Adults ¥730; Elementary\, Junior High and High School Students ¥300; Kyoto City residents ¥520; Elementary\, Junior High and High School Students residing in Kyoto city free. Special Exhibition Fees may be charged separately. yen","124 Okazaki Enshoji-cho\, Sakyo-ku\, Kyoto-shi\, Kyoto 606-8344"
"20th Anniversary of His Death - Shoji Harikae opens",6/23/2023,6/23/2023,true,"Admission Adults ¥500; High School Students and Under\, Age Under 18\, Persons with Disability Certificates + 1 Companion free. yen","400 Takatomachi Higashi Takato\, Ina-shi\, Nagano 396-0213"
"Collection Exhibition - 15 Hometown Artists opens",6/23/2023,6/23/2023,true,"Admission Adults ¥500; High School Students and Under\, Age Under 18\, Persons with Disability Certificates + 1 Companion free. yen","400 Takatomachi Higashi Takato\, Ina-shi\, Nagano 396-0213"
"Hiroshige Utagawa ''U'kiyo-e' opens",6/22/2023,6/22/2023,true,"Admission Adults ¥520 [Special Exhibition] Adults ¥820; Under Age 19\, Persons with Disability Certificates + 1 Companion free. yen","176-1 Oi-cho\, Ena-shi\, Gifu 509-7201 "
"Kaii Higashiyama Hall Collection 2023 - Period 2 opens",6/22/2023,6/22/2023,true,"Admission Adults ¥700; University and Seniors 75 & Over ¥500; High School Students and Under\, Under 18s\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","1-4-4 Hakoshimizu\, Nagano-shi\, Nagano 380-0801"
"Evolution for Everyone - All Creatures are Connected by an Evolutionary Thread opens",6/21/2023,6/21/2023,true,"Admission Adults ¥400\, University and High School Students ¥220\, Junior High and Elementary School Students residing outside Okinawa ¥100. Special Exhibition Fees may be charged separately. yen","3-1-1 Omoromachi\, Naha-shi\, Okinawa 900-0006"
"Uzuki Okubo 'Awaré-Ten' opens",6/20/2023,6/20/2023,true,"Admission 0 yen","6-670-1 Nagareyama\, Nagareyama-shi\, Chiba 270-0164"
"The Triangle: Yuto Yonemura opens",6/20/2023,6/20/2023,true,"Admission Adults ¥730; Elementary\, Junior High and High School Students ¥300; Kyoto City residents ¥520; Elementary\, Junior High and High School Students residing in Kyoto city free. Special Exhibition Fees may be charged separately. yen","124 Okazaki Enshoji-cho\, Sakyo-ku\, Kyoto-shi\, Kyoto 606-8344"
"Shohatsu Suga Exhibition opens",6/19/2023,6/19/2023,true,"Admission 0 yen","1F Masuda Bldg.\, 2-4-3 Irifune\, Chuo-ku\, Tokyo 104-0042"
"Ayumi Kanno 'Halloween Cities of To-Morrow' opens",6/18/2023,6/18/2023,true,"Admission 0 yen","1F\, 16-12 Sakuragaoka-cho\, Shibuya-ku\, Tokyo 150-0031"
"Momoko Kimura Exhibition opens",6/18/2023,6/18/2023,true,"Admission 0 yen","2F Tokai Nihonbashi Heights\, 7-13 Nihonbashi Kobunacho\, Chuo-ku\, Tokyo 103-0024"
"Chinese Paintings in the Collection of the Kosetsu Museum of Art: Treasures From Across the Sea opens",6/17/2023,6/17/2023,true,"Admission undefined yen","4F Nakanoshima Festival Tower West\, 3-2-4 Nakanoshima\, Kita-ku\, Osaka-shi\, Osaka 530-0005"
"Kana Sakaguchi + Shiori Futatsugi 'The Journey Through Everyday View' opens",6/3/2023,6/3/2023,true,"Admission 0 yen","2F Horikawa New Culture Bldg.\, 287 Saikachi-cho\, Kamigyo-ku\, Kyoto-shi\, Kyoto 602-8242"
"MOT Collection: Membrane of the Time Special feature | Yokoo Tadanori―Ever-Changing\, Like Water 100th Anniversary of Birth | Sam Francis opens",7/15/2023,7/15/2023,true,"Admission [Permanent Collection] Adults ¥500; University Students ¥400; High School Students and Seniors 65 & Over ¥250; Junior Hight School Students and Under\, Persons with Disability Certificates + 2 Companions free.  yen","4-1-1 Miyoshi\, Koto-ku\, Tokyo 135-0022"
"TeamLab Future Park and Animals of Flowers\, Symbiotic Live opens",7/8/2023,7/8/2023,true,"Admission null yen","2-75 Geijutsunomori\, Minami-ku\, Sapporo-shi\, Hokkaido 005-0864 "
"Soetsu Yanagi and Aichi Mingei opens",7/1/2023,7/1/2023,true,"Admission Free except for the Special Exhibition yen","86-100 Haiwa\, Hiratobashi-cho\, Toyota-shi\, Aichi 470-0331"
"MtK Satellite vol.2 opens",6/10/2023,6/10/2023,true,"Admission 0 yen","3-5-10 Sakae\, Naka-ku\, Nagoya-shi\, Aichi 460-0008"
"Asian Deities Painted by Fuku Akino and Tomiyuki Kaneko opens",6/17/2023,6/17/2023,true,"Admission Adults and University Students ¥310; High School Students ¥150; Junior High School Students and Under\, Seniors 70 & Over\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","130 Futamata\, Futamata-cho\, Tenryu-ku\, Hamamatsu-shi\, Shizuoka 431-3314"
"Welcome to Hokusai Aquarium! opens",6/17/2023,6/17/2023,true,"Admission Adults ¥1000\, High School Students ¥500\, Junior High and Elementary School Students ¥300\, Persons with Disability Certificates + 1 Companion half price\, Infants free. yen","485 Obuse\, Obusemachi\, Kamitakai-gun\, Nagano 381-0201"
"Arts & Crafts and Design: From William Morris to Frank Lloyd Wright opens",6/17/2023,6/17/2023,true,"Admission undefined yen","1015\, Nonaka-machi\, Kurume-shi\, Fukuoka 839-0862"
"Beloved! Animals\, Birds\, Insects of Insho’s World opens",6/17/2023,6/17/2023,true,"Admission Adults ¥510; University and High School Students ¥400; Junior High and Elementary School Students ¥200; Seniors 65 & Over\, Persons with Disability Certificates + 1 Companion free. yen","26-3 Hirano Kamiyanagi-cho\, Kita-ku\, Kyoto-shi\, Kyoto 603-8355"
"The Taito City Collection Artists Starting Up From Ueno\, the Cultural and Artistic Hub opens",6/17/2023,6/17/2023,true,"Admission null yen","12-8 Ueno Park\, Taito-ku\, Tokyo 110-8714"
"I'm Sure You'll Stay 'The Fascinated' Exhibition opens",6/9/2023,6/9/2023,true,"Admission 0 yen","3F/4F\, 22-8 Motoyoyogicho\, Shibuya-ku\, Tokyo 151-0062"
"Motoka Murakami Exhibitionー The Man who Draws Times and People opens",6/17/2023,6/17/2023,true,"Admission Adults ¥900\, High  School and Junior High School Students ¥400\, Elementary School Students ¥200. Special Exhibition Fees may be charged separately. yen","452 Kinbuki-cho\, Nakagyo-ku\, Kyoto-shi\, Kyoto 604-0846"
"Ishigami Art Walk + North Wind Project Selection opens",6/17/2023,6/17/2023,true,"Admission null yen","10-121-21 Itsukaichi\, Iwatemachi\, Iwate-gun\, Iwate 028-4307 "
"Shoji Uedaー His Approach to Portrait Photography opens",6/17/2023,6/17/2023,true,"Admission Adults ¥1000; University and High School Students ¥500; Junior High and Elementary School Students ¥300. Special Exhibition Fees may be charged separately. yen","353-3 Sumura\, Houki-cho\, Saihaku-gun\, Tottori 689-4107"
"Hirofumi Takemoto 'The Art of Fugue' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","1-2-25 Suwa\, Joto-ku\, Osaka-shi\, Osaka 536-0021"
"Ayako Ueda 'Sounds of Light and Shadow' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","885 Sekihara\, Chuo-shi\, Yamanashi 400-1512"
"Yudai Nishi 'Intersecting Outlines' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","1F 3-17-4 Higashigotanda\, Shinagawa-ku\, Tokyo 141-0022"
"Intersection opens",6/17/2023,6/17/2023,true,"Admission 0 yen","Ginza Six 6F\, 6-10-1 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Shoji Miyamoto Exhibition opens",6/10/2023,6/10/2023,true,"Admission 0 yen","4 Yoshida Kaguraoka-cho\, Sakyo-ku\, Kyoto-shi\, Kyoto 606-8311"
"The Collection opens",6/6/2023,6/6/2023,true,"Admission 0 yen","2F Y Gion\, 19 Benzaiten-cho\, Higashiyama-ku\, Kyoto-shi\, Kyoto 605-0086"
"Robin Fry 'Mirrored' opens",6/14/2023,6/14/2023,true,"Admission 0 yen","1F Mimura Bldg.\, 1-30-7 Sekiguchi\, Bunkyo-ku\, Tokyo 112-0014"
"Adventures of Art in 20th Century - Appreciating Japanese and Western Artwork Through Masterpieces opens",7/22/2023,7/22/2023,true,"Admission Adults ¥430; University Students ¥260; High School Students and Under\, Persons with Disability Certificates free. Special Exhibition Fees may be charged separately. yen","2 Ninomaru\, Chuo-ku\, Kumamoto-shi\, Kumamoto 860-0008"
"Lee Izumida '10 Days in Paris / Flowers' opens",6/7/2023,6/7/2023,true,"Admission 0 yen","1F\, 1-7-11 Haruyoshi\, Chuo-ku\, Fukuoka-shi\, Fukuoka 810-0003"
"Good Bye Anarchy Culture Center opens",6/3/2023,6/3/2023,true,"Admission 0 yen","1F Nihombashimuromachi162 Bldg.\, 1-6-2 Nihombashimuromachi\, Chuo-ku\, Tokyo 103-0022"
"NEWoMan ART wall / Window: System of Culture opens",6/1/2023,6/1/2023,true,"Admission 0 yen","5-24-55 Sendagaya\, Shibuya-ku\,Tokyo 151-0051 "
"Blue opens",6/13/2023,6/13/2023,true,"Admission 0 yen","1F Mori Bldg.\, 1-13-17 Higashi Kanda\, Chiyoda-ku\, Tokyo 101-0031"
"Kyoko Togi 'Forms in Wood 2' opens",6/13/2023,6/13/2023,true,"Admission 0 yen","1F Fukasaku Ganka Bldg.\, 5-1 Kusunoki-cho\, Nishi-ku\, Yokohama-shi\, Kanagawa 220-0003"
"Sazale Anan 'Everything is Changing' opens",6/13/2023,6/13/2023,true,"Admission 0 yen","1-11-2 Tachikawa\, Sumida-ku\, Tokyo 130-0023"
"Jungyoun Kim 'Hesitation' opens",6/24/2023,6/24/2023,true,"Admission null yen","4F Shibuya Parco\, 15-1 Udagawacho\, Shibuya-ku\, Tokyo 150-0042"
"Rintaro Fuse 'The Statement of Isolators' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","404 Hayano Bldg.\, 2-13-12 Nishiazabu\, Minato-ku\, Tokyo 106-0031"
"Summer Holiday Children's Program: Minami Alps City Museum of Art Collection Exhibition for Parents and Children opens",6/17/2023,6/17/2023,true,"Admission undefined yen","1281 Ogasahara\, Minami Alps-shi\, Yamanashi 400-0306"
"Takeshi Yasura 'This Ground is Still Alive in Jingumae' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","B1F On Sundays\, 3-7-6 Jingumae\, Shibuya-ku\, Tokyo 150-0001"
"Anrealage 20th Exhibition 'A=Z' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","5-6-23 Minami-Aoyama\, Minato-ku\, Tokyo 107-0062"
"Yoko Yamamoto 'Platero and I' opens",6/7/2023,6/7/2023,true,"Admission Adults ¥1000\, High School and Junior High School Students ¥600\, Elementary School Students ¥400 yen","Wakuden-mori\, 764 Kumihamachotani\, Kyotango-shi\, Kyoto 629-3559"
"Mitsumasa Anno Exhibition opens",6/7/2023,6/7/2023,true,"Admission Adults ¥1000\, High School and Junior High School Students ¥600\, Elementary School Students ¥400 yen","Wakuden-mori\, 764 Kumihamachotani\, Kyotango-shi\, Kyoto 629-3559"
"Hayato Takekoshi 'Reverse the Worldー Hide and Seek' opens",6/20/2023,6/20/2023,true,"Admission 0 yen","4-7-5 Nihonbashi-Honcho\, Chuo-ku\, Tokyo 103-0023"
"Gaku Kakizaki 'Color and Light Resonating with Each Other' opens",6/22/2023,6/22/2023,true,"Admission 0 yen","6-2-41 Yanaka\, Taito-ku\, Tokyo 110-0001"
"Ryohei Minami 'PaRoooLE' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","1F Asai Bldg.\, 1-15-15 Nishi-Azabu\, Minato-ku\, Tokyo 106-0031"
"Takehiro Iikawa 'Decorator Crab: Measuring the Future\, Pulling Time' opens",7/14/2023,7/14/2023,true,"Admission Adults ¥320; University and High School Students ¥210; Junior High and Elementary School Students ¥120; Infants\, Persons with Disability Certificates + 1 Companion free\, Special Exhibition Fees may be charged separately. yen","6340-220 Koba\, Airagun Yusuicho\, Kagoshima 899-6201"
"Toru Oyamada Exhibition opens",6/10/2023,6/10/2023,true,"Admission Museum admission free. Exhibition admission fee varies depending on exhibition. yen","10-4 Bancho\, Hachinohe-shi\, Aomori 031-0031"
"Yasushi Ebihara 'Hands' opens",6/6/2023,6/6/2023,true,"Admission 0 yen","5F\, Shinjuku bldg. 2\, 3-1-32 Shinjuku\, Shinjuku-ku\, Tokyo\, 160-0022"
"Taichi Machida 'Ok Warriorsー Techniques for Existence' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","4F\, 2-7-5 Nishiazabu\, Minato-ku\, Tokyo 106-0031"
"Momoko Sakura Exhibition opens",6/17/2023,6/17/2023,true,"Admission null yen","3F Aoi Tower\, 17-1 Koyamachi\, Aoi-ku\, Shizuoka-shi\, Shizuoka 420-0852"
"Chie Tsubomoto 'Undetermined Forms' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","1F Terrada Art Complex II\, 1-32-8 Higashi-Shinagawa\, Shinagawa-ku\, Tokyo 140-0002"
"Kosuke Ichikawa 'Now Loading........' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","437 Tawaraya-cho\, Kamigyo-ku\, Kyoto-shi\, Kyoto 602-0871"
"Camera Handa Exhibition opens",6/16/2023,6/16/2023,true,"Admission 0 yen","102 Tanaka Bldg.\, 5-18-11 Shinjuku\, Shinjuku-ku\, Tokyo 160-0022"
"Shinpei Sakakura 'Simple and Profound' opens",6/3/2023,6/3/2023,true,"Admission Adults ¥800; University\, High School and Junior High School Students ¥600; Elementary School Students ¥400. yen","7-12-13 Hirasaku\, Yokosuka-shi\, Kanagawa-ken 238-0032"
"Shingo Kanagawa 'July-October\, 2022/Self-Portraits' opens",6/15/2023,6/15/2023,true,"Admission 0 yen","1F NADiff A/P/A/R/T\, 1-18-4 Ebisu Shibuya-ku\, Tokyo 150-0013"
"Evan Nesbit + Atsuo Suzuki + Tomoshi Yasuda Exhibition opens",6/14/2023,6/14/2023,true,"Admission 0 yen","1-4-1 Nihombashi Muromachi\, Chuo-ku\, Tokyo 103-8001 "
"Diffusion of Nature 2023 - Soil and Dreams opens",5/26/2023,5/26/2023,true,"Admission undefined yen","12 Asaoshinden\, Akeno-cho\, Hokuto-shi\, Yamanashi 408-0205"
"Mishiho Fukuhama 'Something in the Wind' opens",6/10/2023,6/10/2023,true,"Admission 0 yen","1-32-17 Kakinokizaka\, Meguro-ku\, Tokyo 152-0022"
"Takuya Mitani 'Our Side Story' opens",6/10/2023,6/10/2023,true,"Admission 0 yen","4F Ishikura Bldg.\, 2-5 Nihombashi Odenmacho\, Chuo-ku\, Tokyo 103-0011"
"Shu Ohno 'The Module' opens",6/10/2023,6/10/2023,true,"Admission null yen","4-21-2 Nishiazabu\, Minato-ku\, Tokyo\, 106-0031"
"Motonori Kawamura + Yudai Takata Exhibition opens",6/10/2023,6/10/2023,true,"Admission 0 yen","3-5-1 Kagamiikedori\, Chikkusa-ku\, Nagoya-shi\, Aichi 464-0816"
"Hisae Imai Exhibition opens",6/8/2023,6/8/2023,true,"Admission 0 yen","1F Yurakucho Bldg.\, 1-10-1 Yurakucho\, Chiyoda-ku\, Tokyo 100-0006"
"Good Design Collection 1950s - 2020s opens",6/2/2023,6/2/2023,true,"Admission 0 yen","1F Shin Kokusai Bldg.\, 3-4-1 Marunouchi\, Chiyoda-ku\, Tokyo 100-0005"
"Saburo Ota Exhibition opens",6/10/2023,6/10/2023,true,"Admission 0 yen","1F Fortune Bldg.\, 3-4-2 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Hiroko Inoue 'Being the Stream' opens",6/2/2023,6/2/2023,true,"Admission 0 yen","2F Shinsaibashi Inoue Bldg.\, 1-3-10 Shinsaibashi-suji\, Chuo-ku\, Osaka-shi\, Osaka 542-0085"
"Nana Ono 'The Skin of the Earth' opens",6/5/2023,6/5/2023,true,"Admission 0 yen","3F\, 6-13-7 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Marc Nagtzaam + Ikuhisa Sawada 'Others' opens",6/9/2023,6/9/2023,true,"Admission 0 yen","202 Sawada Bldg.\, 2-2-1 Sarugaku-cho\, Chiyoda-ku\, Tokyo 101-0064"
"Kosuke Ichikawa 'Vintage Brown' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","3F Shikiamicho Bldg.\, 122-1 Shikiami-cho\, Nakagyo-ku\, Kyoto-shi\, Kyoto 604-8261"
"Yoshiya Yoshimitsu 'Object Theatre' opens",6/16/2023,6/16/2023,true,"Admission null yen","5F Hanazono Alley\, 3-3-9 Ikenohata\, Taito-ku\, Tokyo 110-0008"
"Yes! This is Jewel.ー Wrapped in Impact opens",6/17/2023,6/17/2023,true,"Admission 0 yen","4-8-25 Minami Aoyama\, Minato-ku\, Tokyo 107-0062"
"NAM Collection Period Ⅱ opens",5/18/2023,5/18/2023,true,"Admission Adults ¥700; University and Seniors 75 & Over ¥500; High School Students and Under\, Under 18s\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","1-4-4 Hakoshimizu\, Nagano-shi\, Nagano 380-0801"
"Ceramics of the Past and of the Future: The Timelessness of Traditional Japanese Craft Arts opens",7/8/2023,7/8/2023,true,"Admission Adults ¥320; University and High School Students ¥260; Junior High and Elementary School Students\, Seniors 70 & Over ¥160. Special Exhibition Fees may be charged separately. yen","2345 Kasama\, Kasama-shi\, Ibaraki 309-1611"
"Masterpieces of Japanese Dress from Bunka Gakuen Costume Museum opens",6/17/2023,6/17/2023,true,"Admission Adults ¥500\, University and High School Students ¥300\, Elementary and Junior High School Students ¥200\, Persons with Disability Certificates + 1 Companion free. yen","1F Shinjuku Bunka Quinto Building\, 3-22-7 Yoyogi\, Shibuya-ku\, Tokyo 151-8529"
"Muttoni 'Another Sky' opens",6/2/2023,6/2/2023,true,"Admission 0 yen","102 3-18-2 Nishi-Shinjuku\, Shinjuku-ku\, Tokyo 160-0023"
"Harumi Yonekawa 'Blue Existence' opens",6/16/2023,6/16/2023,true,"Admission Donation yen","126 Okubo-cho\, Ashikaga-shi\, Tochigi 326-0012 "
"Shunta Inoue 'Un chumosaku' opens",6/8/2023,6/8/2023,true,"Admission 0 yen","205 Chowa Bldg.\, 4-8 Tenya-machi\, Hakata-ku\, Fukuoka-shi\, Fukuoka 812-0025 "
"Sakaiya's Collection opens",5/19/2023,5/19/2023,true,"Admission Adults and University Students ¥500\, High School\, Junior High and Elementary School Students ¥300. yen","2-5 Aizumi-cho\, Shinjuku-ku\, Tokyo 160-0005"
"Shiori Higashiyama 'Personal Hedges' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","1F NADiff A/P/A/R/T\, 1-18-4 Ebisu Shibuya-ku\, Tokyo 150-0013"
"Design Beyond opens",6/16/2023,6/16/2023,true,"Admission null yen","5F Midtown Tower\, 9-7-1 Akasaka\, Minato-ku\, Tokyo 107-6205"
"Yoichi Yoshinaga 'Geoglyphs' opens",6/15/2023,6/15/2023,true,"Admission 0 yen","5-3-12 Shimomeguro\, Meguro-ku\, Tokyo 153-0064"
"Moemi Nakakoji Exhibition opens",6/16/2023,6/16/2023,true,"Admission 0 yen","1F Twin Heitz\, 3-42-17 Nishiogikita\, Suginami-ku\, Tokyo 167-0042"
"“Cantina” Mograg Verse opens",6/10/2023,6/10/2023,true,"Admission 0 yen","B1F cocoti\, 1-23-16 Shibuya\, Shibuya-ku\, Tokyo 150-0002"
"Makoto Egashira 'Square Flower Garden' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","B1F Ohararyu Kaikan\, 5-7-17 Minami Aoyama\, Minato-ku\, Tokyo 107-0062"
"Shinji Asai Solo Exhibition | Yusuke Asai + Shinji Asai Exhibition opens",6/15/2023,6/15/2023,true,"Admission ¥400 + 1 selected tea yen","1-8-7 Kichijoji-Higashicho\, Musashino-shi\, Tokyo 180-0002"
"Zen 'See the World Differently' opens",6/15/2023,6/15/2023,true,"Admission 0 yen","Roob1-1F 2F\, 28-13 Sarugaku-cho\, Shibuya-ku\, Tokyo 150-0033"
"Michiko Tsuda 'So Far\, Not Far' opens",6/3/2023,6/3/2023,true,"Admission null yen","3F\, 88 Aokusamachi\, Kanazawa-shi\, Ishikawa 920-0907"
"Art Osaka 2023 opens",7/26/2023,7/26/2023,true,"Admission undefined yen","4-1-55 Kitakagaya\, Suminoe-ku\, Osaka-shi\, Osaka 559-0011"
"Noritake Kinashi 'Gokanー Five Senses' opens",6/7/2023,6/7/2023,true,"Admission null yen","18-8 Sarugakucho\, Shibuya-ku\, Tokyo 150-0033"
"Atsuo Ogawa 'Penetrated Locus of Memory's' opens",6/16/2023,6/16/2023,true,"Admission undefined yen","10F Yurakucho Bldg.\, 1-10-1 Yurakucho\, Chiyoda-ku\, Tokyo 100-0006"
"Shinji Ogawa 'Better Half' opens",7/15/2023,7/15/2023,true,"Admission Adults ¥200; University Students ¥150; High School Students and Under\, Seniors 65 & Over free. Special Exhibition Fees may be charged separately. yen","10-4 Konyamachi\, Takamatsu-shi\, Kagawa 760-0027"
"Kensuke Ito 'Building Blocks: an Homage to Seth Siegelaub' opens",6/10/2023,6/10/2023,true,"Admission 0 yen","3-41-3 Jingumae\, Shibuya-ku\, Tokyo 155-0001"
"Katsutoshi Yuasa 'Fragmentary' opens",6/10/2023,6/10/2023,true,"Admission 0 yen","2B Koura Bldg 1.\, 1-1-6 Nihonbashi\, Kayaba-cho\, Chuo-ku\, Tokyo 103-0023"
"Daichi Igarashi + Kentaro Okumura 'Boundary Zone' opens",6/8/2023,6/8/2023,true,"Admission 0 yen","Biscuit Bldg.\, 1-28-8 Shoto\, Shibuya-ku\, Tokyo 150-0046"
"Jang Koal 'Hidden Garden' opens",6/7/2023,6/7/2023,true,"Admission 0 yen","Castalia Nakameguro\, 1-18-7 Aobadai\, Meguro-ku\, Tokyo 153-0042"
"Kifumi Ebizuka 'Obje(c)t' opens",6/9/2023,6/9/2023,true,"Admission 0 yen","3F Roppongi Sakae Bldg.\, 7-6-5 Roppongi\, Minato-ku\, Tokyo 106-0032 "
"Motohiro Tomii + Masakazu Horiuchi 'Distorting' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","3F Roppongi Hills Hollywood Beauty Plaza\, 6-4-1 Roppongi\, Minato-ku\, Tokyo 106-0032"
"Miyuki Yokomizo 'Still Water' opens",6/6/2023,6/6/2023,true,"Admission 0 yen","1F\, 2-6-10 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Scenery of Tokyo in Taisho and Early Showa eras - Works of Kazuma Oda opens",6/14/2023,6/14/2023,true,"Admission null yen","4-28-1 Haramachida\, Machida-shi\, Tokyo 194-0013"
"Tadatsugu Matsui\, the General Who Supported Ieyasu opens",6/10/2023,6/10/2023,true,"Admission 0 yen","480 Kamezawa-cho\, Nishio-shi\, Aichi 445-0847"
"Bones opens",6/3/2023,6/3/2023,true,"Admission Adults ¥300; University Students ¥150; High School Students and Under\, Persons with Disability Certificates + 1 Companion free. yen","1-8 Kajomachi\, Yamagata-shi\, Yamagata 990-0826"
"'All Members of the Kitagawa Tamiji Collection from the Seto City Art Museum Collection! opens",6/3/2023,6/3/2023,true,"Admission undefined yen","113-3 Nishiibara-cho\, Seto-shi\, Aichi 489-0884"
"Medicine\, Health & Beauty opens",5/31/2023,5/31/2023,true,"Admission Adults ¥900\, Seniors 65 & Over ¥800\, University Students ¥700\, High School Students ¥600\, Junior High School Students and Under free. yen","2-28-21 Komagome\, Bunkyo-ku\, Tokyo 113-0021"
"Art Nouveau & Art Déco Exhibition opens",5/26/2023,5/26/2023,true,"Admission Adults ¥800; University and High School Students\, Seniors 60 & Over ¥600; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. yen","2F Minatomirai Gakuen Bldg.\, 1-2-15 Takashima\, Nishi-ku\, Yokohama-shi\, Kanagawa 220-0011"
"Naoya Ishikawa + Hikari Yamaguchi 'Dialogue' opens",6/9/2023,6/9/2023,true,"Admission 0 yen","3F Roppongi Sakae Bldg.\, 7-6-5 Roppongi\, Minato-ku\, Tokyo 106-0032 "
"Yuuki Tanya 'Sediment of Flux' opens",6/9/2023,6/9/2023,true,"Admission 0 yen","2-19-2 Suido\, Bunkyo-ku\, Tokyo 112-0005"
"Feature Exhibition: New Acquisitions opens",6/13/2023,6/13/2023,true,"Admission null yen","527 Chayamachi\, Higashiyama-ku\, Kyoto-shi\, Kyoto 605-0931"
"The Great Wall 1963-1970 opens",6/13/2023,6/13/2023,true,"Admission 0 yen","3F Togawa Bldg.\, 394 Sekisenin-cho\, Higashiyama-ku\, Kyoto-shi\, Kyoto 605-0021"
"Yumeji Takehisa Exhibition opens",6/13/2023,6/13/2023,true,"Admission Adults ¥600; University\, High School and Junior High School Students ¥250; Elementary School Students ¥250 yen","2000-1 Okuchohonjo\, Setouchi-shi\, Okayama 701-4214"
"Fujiwo Ishimoto 'Buds' opens",6/12/2023,6/12/2023,true,"Admission 0 yen","5-6-23 Minami-Aoyama\, Minato-ku\, Tokyo 107-0062"
"Kiyo Sunagawa 'Residue' opens",6/10/2023,6/10/2023,true,"Admission 0 yen","384-2 Kishaba\, Kitanakagusuku-son\, Nakagami-gun\, Okinawa 901-2311"
"Back to Nature opens",6/10/2023,6/10/2023,true,"Admission null yen","2-7-4 Shibuya\, Shibuya-ku\, Tokyo 150-0002"
"The Ultimate in Finely Detailed Crafts opens",6/10/2023,6/10/2023,true,"Admission Adults ¥800; University\, High School and Junior High School Students ¥500; Elementary School Students ¥300; Infants free. yen","3-337-1 Kiyomizu\, Higashiyama-ku\, Kyoto-shi\, Kyoto 605-0862"
"Mechanical Stork Crossing the Sea of Genomes Part 2 opens",6/23/2023,6/23/2023,true,"Admission 0 yen","1-31-9 Ishikawa-cho\, Naka-ku\, Yokohama-shi\, Kanagawa 231-0868"
"450 Years After the Fall of the Muromachi Shogunate: Ashikaga Shoguns Ride Through the Warring States! opens",6/10/2023,6/10/2023,true,"Admission Adults ¥500; University Students ¥400; High School Students and Under\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","623-1 Higashikatamachi\, Nakagyo-ku\, Kyoto-shi\, Kyoto 604-8183"
"Kazuhiro Toyama 'Earth\, Metal\, Vessel' opens",6/10/2023,6/10/2023,true,"Admission 0 yen","Ginza Six 6F\, 6-10-1 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Shinpei Yamagami 'Liminal (eyes) Yamagami' opens",6/10/2023,6/10/2023,true,"Admission 0 yen","2F\, 3-7-15 Yakuin\, Chuo-ku\, Fukuoka-shi\, Fukuoka 810-0022"
"Tohoku University of Art and Design Graduates Group Exhibition: Hatching opens",6/9/2023,6/9/2023,true,"Admission 0 yen","2-5-7 Oroshimachi\, Wakabayashi-ku\, Sendai-shi\, Miyagi 984-0015"
"Shinpei Nagatomo 'Whales of Heaven' opens",6/9/2023,6/9/2023,true,"Admission 0 yen","2-5-7 Oroshimachi\, Wakabayashi-ku\, Sendai-shi\, Miyagi 984-0015"
"Taizo Kuroda Exhibition opens",6/10/2023,6/10/2023,true,"Admission 0 yen","1F Tokyo Tatemono Kyobashi Bldg.\, 3-6-18 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Eleonor Boström 'Lost Dog' opens",6/9/2023,6/9/2023,true,"Admission 0 yen","2F Daiichi Nishio Bldg.\, 5-17 Sarugakucho\, Shibuya-ku\, Tokyo 150-0033"
"Nobuyuki Kimura 'The Scenery of Celadon and Tenmoku' opens",6/9/2023,6/9/2023,true,"Admission 0 yen","2F Akasaka ZEN Bldg.\, 6-4-10 Akasaka\, Minato-ku\, Tokyo 107-0052"
